kdrama_id,drama_name,year,tot_eps,duration,aired_on,org_net
0c85d30c5f1842e3817983e3573d728a,The Empire,2022,16,3600,"Saturday, Sunday",jTBC ViuTV
9aed3bf1ca164ef381c8596c0fc2538d,One Dollar Lawyer,2022,12,4200,"Friday, Saturday",SBS
38bed0dcd0644ee897ef84d587aabd78,The Golden Spoon,2022,16,4800,"Friday, Saturday",MBC
5e08349df91145d9baa6162f7479e28d,Love in Contract,2022,16,3900,"Wednesday, Thursday",tvN Viki
afce304dbfa1470dbde67f249b77e292,May It Please the Court,2022,12,3900,Wednesday,Disney+ Hulu
f9bb00665e474ef59a8504e17d2ad9ba,Seasons of Blossom,2022,16,1500,Wednesday,not found
2676d76944924114b17a0bcba41e491f,Blind,2017,7,180,not found,not found
8a17456abb36462eaafac464ae6a6151,My Chilling Roommate,2022,10,900,not found,not found
395b2c67957e4c67a5ea41ef65d21691,Null Maybe,2022,4,960,"Thursday, Friday, Saturday, Sunday",Channel A
8cb84ad3d0064c14954b539ae4090ee9,Once Again,2020,100,2100,"Saturday, Sunday",KBS2
083a00a4b5934c6a83aac886bece5f80,Mental Coach Jegal,2022,16,4200,"Monday, Tuesday",tvN
e5e381634bbc4e878d0123a83836ebbe,Narco-Saints,2022,6,3720,Friday,Netflix
c032d2f2e8bd45acbfdc1278c8fe0569,"Pro, Teen",2022,10,720,"Tuesday, Thursday",not found
aececc285e954110a743d4ba9d1b77f4,The Law Cafe,2022,16,3780,"Monday, Tuesday",KBS2 Viki ViuTV
2951261cfd82412f96629265b2d485dd,Once Upon a Small Town,2022,12,2040,"Monday, Tuesday, Wednesday",Daum Kakao TV
adf30bba1f0741f8863d050f5a058cd4,Little Women,2022,12,4500,"Saturday, Sunday",Netflix tvN
d500ea2a9b3c4667bc58e7addccd766d,MBTI Love,2022,3,660,not found,not found
27a3c07fbcac45c29a6c5f0daac89eda,Desperate Mr. X,2022,6,2280,Friday,not found
84f28ecf24324d999c8740e9e78a1dba,Ongoing Loved One,2022,7,900,Friday,Naver TV Cast
35bee5a285314bd2b7dbde466ab57b2c,Unicorn,2022,12,2400,Friday,not found
b32e211ebe654e6bb2dd88a7921162ac,Good Job,2022,12,3600,"Wednesday, Thursday",ENA Viki
7b7e45269d0d4ebf9c0de9dda7769592,Love On Green,2022,8,360,not found,not found
d7ae6bb7d79a44aca7b951032f3bcf97,Girlfriend Project Day 1,2022,4,540,Friday,not found
ea55720164574114b2c8c84770794ba0,"Everyone, at Least Once",2022,13,480,Friday,not found
34bd5fa45bea48bdb9134a0eacf1bb6a,Anna: Extended Version,2022,8,3600,Friday,not found
1cef85050bba43b399fdc75d928f1ece,Stock Struck,2022,12,2700,Friday,TVING
08ccca48ee5544c4bc794d61e6aa4cb0,A Model Family,2022,10,2700,Friday,Netflix
3fc647dce67a4e30bd0eb8b90dd9c843,If You Wish Upon Me,2022,16,4200,"Wednesday, Thursday",KBS2 ViuTV
7cbafa2d5c834f14872d33fddbb7983f,Cheonglywood,2022,4,540,Wednesday,not found
b1ce5896901244f9867fc887b781f780,Hunted,2022,4,4140,Monday,MBC
8150228f6a7e459ab51cab807af20475,"Poong, the Joseon Psychiatrist",2022,12,4500,"Monday, Tuesday",tvN
224299fafe06454fa2ffe0bc6180ce3b,Salon De Nabi,2022,16,4200,not found,Amazon Prime jTBC
e17a7d708e2844ec8b820ce915885fe6,The Good Detective Season 2,2022,16,4200,"Saturday, Sunday",ENA jTBC
e290ac91f3084a49b35f337e25cff335,Today's Webtoon,2022,16,4200,"Friday, Saturday",SBS Viki ViuTV
49846934ef8d4b719668046fe9b1b2a9,Big Mouth,2022,16,4260,"Friday, Saturday",Hulu MBC
34b53744599f440b86c2cc69d328c196,Adamas,2022,16,4200,"Wednesday, Thursday",tvN
29615f35297a42ee848a84cdc941da60,Mimicus,2022,16,1200,"Wednesday, Friday",Viki
501ec48e42514ae68282fd1852c942fc,New Recruit,2022,10,1800,Friday,ENA Genie TV
0081e24b944a459889a73c7cddc63fe9,Remarriage and Desires,2022,8,3600,Friday,Netflix
d2ad86fb205f47d3bef8109a626465b5,Dear X Who Doesn't Love Me,2022,10,1800,Thursday,TVING
446e7439feb64edf906f59ee08319017,The Girls on the Phone,2022,9,300,"Monday, Wednesday",not found
b2092b70d1bd4fffb57d67609be3e88c,Is There Equation in Love?,2022,5,900,Friday,not found
3bbadf6f6afa496ab5bbe6cd4ad45bd6,Bad Girlfriend,2022,12,900,"Tuesday, Thursday",Naver TV Cast Viki vLive
df3ad5749f6947b4b592de98b9fbcc5e,Dream Maker,2022,8,600,not found,not found
894409db575645d6bb479cc8b8ca7810,Secretly Sweetly Season 2,2022,1,2280,not found,not found
53441eeeb06145e0a95cc0452d92f98c,Twin,2022,8,480,Friday,not found
836c0f61abb24168a133221fbb13fc2f,Extraordinary Attorney Woo,2022,16,4620,"Wednesday, Thursday",ENA Netflix
1e8e25cc8c3f4c2bb1936ab2b78e7ff6,Dear.M,2022,12,4200,Wednesday,KBS2 Viki
7457ae7cfc5742799ecb07d35ac2ab1d,Convenience Store Junkies,2022,20,60,"Monday, Tuesday, Wednesday, Thursday, Friday",not found
c86ddae23c314a819a06e19796458788,Café Minamdang,2022,18,3780,"Monday, Tuesday",KBS2 Netflix
b966838adf3547069389d6226ad55a67,Becoming Witch,2022,12,4200,Saturday,TV Chosun
019ae37024fe413289e79abe5896a6e2,"Alice, the Final Weapon",2022,8,2100,Friday,not found
